iter	Passed	Remaining
0	193	96593
1	356	88730
2	543	90090
3	744	92356
4	1014	100450
5	1271	104684
6	1488	104845
7	1839	113100
8	2116	115440
9	2370	116146
10	2655	118065
11	2852	115999
12	3022	113240
13	3278	113794
14	3493	112951
15	3738	113085
16	4037	114700
17	4318	115649
18	4631	117257
19	4968	119254
20	5275	120320
21	5412	117595
22	5651	117212
23	6241	123782
24	6619	125770
25	6918	126124
26	7386	129408
27	7628	128600
28	7866	127760
29	8128	127343
30	8481	128318
31	9043	132259
32	9378	132716
33	9622	131881
34	9953	132244
35	10187	131303
36	10514	131568
37	11202	136204
38	11495	135882
39	11827	136021
40	12151	136034
41	12470	135984
42	12817	136220
43	13278	137612
44	13545	136960
45	14039	138566
46	14302	137850
47	14565	137158
48	14751	135772
49	14944	134496
50	15239	134169
51	15519	133710
52	15808	133332
53	16223	133995
54	16457	133152
55	16801	133215
56	17069	132664
57	17275	131650
58	17494	130764
59	17740	130096
60	18051	129915
61	18318	129409
62	18538	128591
63	18737	127651
64	19013	127243
65	19230	126454
66	19460	125767
67	19768	125587
68	19970	124745
69	20227	124256
70	20418	123375
71	20713	123130
72	21074	123268
73	21405	123224
74	21798	123526
75	21998	122729
76	22252	122244
77	22548	121993
78	22828	121657
79	23125	121407
80	23390	120997
81	23623	120421
82	23832	119734
83	24170	119700
84	24505	119646
85	24850	119631
86	25224	119743
87	25560	119670
88	25772	119015
89	26005	118470
90	26266	118052
91	26476	117417
92	26713	116908
93	26941	116364
94	27096	115518
95	27244	114654
96	27492	114220
97	27731	113754
98	27959	113248
99	28262	113049
100	28489	112546
101	28797	112365
102	29026	111879
103	29313	111616
104	29625	111447
105	29981	111439
106	30341	111441
107	30582	111002
108	30824	110573
109	31023	109994
110	31491	110362
111	31750	109994
112	31969	109490
113	32229	109126
114	32407	108496
115	32687	108207
116	33039	108155
117	33264	107688
118	33491	107227
119	33747	106867
120	34035	106606
121	34336	106388
122	34813	106704
123	35174	106657
124	35412	106237
125	35717	106019
126	35999	105730
127	36285	105455
128	36591	105237
129	36822	104803
130	37605	105927
131	37869	105575
132	38112	105167
133	38384	104840
134	38658	104521
135	38909	104138
136	39185	103826
137	39406	103371
138	39633	102933
139	39928	102672
140	40182	102308
141	40420	101904
142	40574	101295
143	40852	100995
144	41133	100706
145	41395	100368
146	41647	100010
147	41861	99563
148	42093	99160
149	42391	98912
150	42708	98709
151	42962	98362
152	43209	97997
